date,product_id,product_name,category,stock_on_hand,daily_sold,restock_quantity,stockout
2025-01-01,1,Wireless Headphones,Electronics,169,10,0,0
2025-01-01,2,Smart Watch,Electronics,209,21,0,0
2025-01-01,3,Bluetooth Speaker,Electronics,265,24,0,0
2025-01-01,4,USB-C Hub,Electronics,149,24,0,0
2025-01-01,5,Cotton T-Shirt,Fashion,274,44,0,0
2025-01-01,6,Denim Jacket,Fashion,204,18,0,0
2025-01-01,7,Running Shoes,Fashion,222,21,0,0
2025-01-01,8,Leather Belt,Fashion,182,23,0,0
2025-01-01,9,Yoga Mat,Sports,236,13,0,0
2025-01-01,10,Dumbbell Set,Sports,268,47,0,0
2025-01-01,11,Resistance Bands,Sports,240,31,0,0
2025-01-01,12,Protein Powder 1kg,Sports,298,26,0,0
2025-01-01,13,Ceramic Mug Set,Home,269,11,0,0
2025-01-01,14,LED Desk Lamp,Home,247,9,0,0
2025-01-01,15,Throw Pillow Set,Home,275,56,0,0
2025-01-01,16,Plant Pot Trio,Home,346,12,0,0
2025-01-02,1,Wireless Headphones,Electronics,141,28,0,0
2025-01-02,2,Smart Watch,Electronics,201,8,0,0
2025-01-02,3,Bluetooth Speaker,Electronics,250,15,0,0
2025-01-02,4,USB-C Hub,Electronics,116,33,0,0
2025-01-02,5,Cotton T-Shirt,Fashion,248,26,0,0
2025-01-02,6,Denim Jacket,Fashion,146,58,0,0
2025-01-02,7,Running Shoes,Fashion,171,51,0,0
2025-01-02,8,Leather Belt,Fashion,143,39,0,0
2025-01-02,9,Yoga Mat,Sports,192,44,0,0
2025-01-02,10,Dumbbell Set,Sports,220,48,0,0
2025-01-02,11,Resistance Bands,Sports,181,59,0,0
2025-01-02,12,Protein Powder 1kg,Sports,273,25,0,0
2025-01-02,13,Ceramic Mug Set,Home,261,8,0,0
2025-01-02,14,LED Desk Lamp,Home,234,13,0,0
2025-01-02,15,Throw Pillow Set,Home,249,26,0,0
2025-01-02,16,Plant Pot Trio,Home,336,10,0,0
2025-01-03,1,Wireless Headphones,Electronics,120,21,0,0
2025-01-03,2,Smart Watch,Electronics,175,26,0,0
2025-01-03,3,Bluetooth Speaker,Electronics,214,36,0,0
2025-01-03,4,USB-C Hub,Electronics,77,39,0,0
2025-01-03,5,Cotton T-Shirt,Fashion,208,40,0,0
2025-01-03,6,Denim Jacket,Fashion,134,12,0,0
2025-01-03,7,Running Shoes,Fashion,136,35,0,0
2025-01-03,8,Leather Belt,Fashion,125,18,0,0
2025-01-03,9,Yoga Mat,Sports,122,70,0,0
2025-01-03,10,Dumbbell Set,Sports,182,38,0,0
2025-01-03,11,Resistance Bands,Sports,127,54,0,0
2025-01-03,12,Protein Powder 1kg,Sports,233,40,0,0
2025-01-03,13,Ceramic Mug Set,Home,239,22,0,0
2025-01-03,14,LED Desk Lamp,Home,182,52,0,0
2025-01-03,15,Throw Pillow Set,Home,176,73,0,0
2025-01-03,16,Plant Pot Trio,Home,320,16,0,0
2025-01-04,1,Wireless Headphones,Electronics,114,6,0,0
2025-01-04,2,Smart Watch,Electronics,132,43,0,0
2025-01-04,3,Bluetooth Speaker,Electronics,196,18,0,0
2025-01-04,4,USB-C Hub,Electronics,49,28,0,0
2025-01-04,5,Cotton T-Shirt,Fashion,191,17,0,0
2025-01-04,6,Denim Jacket,Fashion,86,48,0,0
2025-01-04,7,Running Shoes,Fashion,90,46,0,0
2025-01-04,8,Leather Belt,Fashion,66,59,0,0
